year,month,hour,isorto,co2_eq_kg_per_MWh
2023,3,4,ISONE,357.1307942
2023,3,4,MISO,480.650938
2023,3,4,NYISO,423.2885611
2023,3,4,PJM,457.2620606
2023,3,4,SPP,650.1704763
2023,3,5,CAISO,444.3825969
2023,3,5,ERCOT,435.2330227
2023,3,5,ISONE,396.859599
2023,3,5,MISO,562.9301375
2023,3,5,NYISO,370.2598702
2023,3,5,PJM,490.0013435
2023,3,5,SPP,674.8945062
2023,3,6,CAISO,379.093096
2023,3,6,ERCOT,491.9355866
2023,3,6,ISONE,357.2312436
2023,3,6,MISO,627.9823014
2023,3,6,NYISO,399.1086731
2023,3,6,PJM,371.4548039
2023,3,6,SPP,687.7001994
2023,3,7,CAISO,318.7334314
2023,3,7,ERCOT,500.7726891
2023,3,7,ISONE,354.0850249
2023,3,7,MISO,697.5353026
2023,3,7,NYISO,331.9349917
2023,3,7,PJM,539.533779
2023,3,7,SPP,634.499071
2023,3,8,CAISO,367.1354195
2023,3,8,ERCOT,577.5614299
2023,3,8,ISONE,395.1035907
2023,3,8,MISO,688.0913902
2023,3,8,NYISO,350.7301489
2023,3,8,PJM,453.7727592
2023,3,8,SPP,631.4431205
2023,3,9,CAISO,331.367164
2023,3,9,ERCOT,525.5838605
2023,3,9,ISONE,398.9623129
2023,3,9,MISO,629.6466944
2023,3,9,NYISO,379.4571671
2023,3,9,PJM,544.4529268
2023,3,9,SPP,579.7079016
2023,3,10,CAISO,287.5121766
2023,3,10,ERCOT,533.4065
2023,3,10,ISONE,364.0002176
2023,3,10,MISO,579.4346903
2023,3,10,NYISO,391.9069239
2023,3,10,PJM,567.8450612
2023,3,10,SPP,583.0189527
2023,3,11,CAISO,277.569857
2023,3,11,ERCOT,489.9275254
2023,3,11,ISONE,376.0772679
2023,3,11,MISO,633.4418758
2023,3,11,NYISO,395.5605407
2023,3,11,PJM,590.0132585
2023,3,11,SPP,617.2460498
2023,3,12,CAISO,308.0925588
2023,3,12,ERCOT,488.1997491
2023,3,12,ISONE,399.5800954
2023,3,12,MISO,652.0093892
2023,3,12,NYISO,491.4825699
2023,3,12,PJM,599.1188408
2023,3,12,SPP,644.1076364
2023,3,13,CAISO,435.3446927
2023,3,13,ERCOT,538.8246448
2023,3,13,ISONE,401.7599806
2023,3,13,MISO,664.1715767
2023,3,13,NYISO,374.9222929
2023,3,13,PJM,598.5153971
2023,3,13,SPP,700.3175142
2023,3,14,CAISO,365.1912361
2023,3,14,ERCOT,592.0700348
2023,3,14,ISONE,379.4369883
2023,3,14,MISO,726.9275213
2023,3,14,NYISO,450.8043721
2023,3,14,PJM,637.7853991
2023,3,14,SPP,643.0875484
2023,3,15,CAISO,421.1175622
2023,3,15,ERCOT,508.6782973
2023,3,15,ISONE,324.0046925
2023,3,15,MISO,701.4252144
2023,3,15,NYISO,380.1158897
2023,3,15,PJM,541.0679601
2023,3,15,SPP,633.93257
2023,3,16,CAISO,420.034694
2023,3,16,ERCOT,527.340942
2023,3,16,ISONE,350.717106
2023,3,16,MISO,680.9612862
2023,3,16,NYISO,398.4644202
2023,3,16,PJM,504.7549228
2023,3,16,SPP,621.3542119
2023,3,17,CAISO,344.7705553
2023,3,17,ERCOT,506.1805814
2023,3,17,ISONE,335.7541498
2023,3,17,MISO,618.4256048
2023,3,17,NYISO,450.3432269
2023,3,17,PJM,475.6580443
2023,3,17,SPP,597.4469564
2023,3,18,CAISO,346.1996374
2023,3,18,ERCOT,523.743154
2023,3,18,ISONE,390.816653
2023,3,18,MISO,627.3265508
2023,3,18,NYISO,422.449205
2023,3,18,PJM,449.5701136
2023,3,18,SPP,592.0663463
2023,3,19,CAISO,350.5106503
2023,3,19,ERCOT,528.6108895
2023,3,19,ISONE,383.2143071
2023,3,19,MISO,641.2103251
2023,3,19,NYISO,389.7322132
2023,3,19,PJM,428.9263481
2023,3,19,SPP,666.9679523
2023,3,20,CAISO,344.2781114
2023,3,20,ERCOT,549.4368409
2023,3,20,ISONE,387.096671
2023,3,20,MISO,612.19573
2023,3,20,NYISO,409.5865027
2023,3,20,PJM,350.5968385
2023,3,20,SPP,598.2405415
2023,3,21,CAISO,393.7183062
2023,3,21,ERCOT,456.8305169
2023,3,21,ISONE,360.2852988
2023,3,21,MISO,691.8603109
2023,3,21,NYISO,369.7490527
2023,3,21,PJM,400.7185918
2023,3,21,SPP,682.6907303
2023,3,22,CAISO,345.9382536
2023,3,22,ERCOT,448.5367252
2023,3,22,ISONE,362.7406889
2023,3,22,MISO,615.0489087
2023,3,22,NYISO,483.2405219
2023,3,22,PJM,397.0252246
2023,3,22,SPP,693.0119936
2023,3,23,CAISO,429.9481698
2023,3,23,ERCOT,479.4178252
2023,3,23,ISONE,393.8925889
2023,3,23,MISO,617.8907876
2023,3,23,NYISO,428.5020116
2023,3,23,PJM,500.4461125
2023,3,23,SPP,634.1349038
2023,4,0,CAISO,246.5874654
2023,4,0,ERCOT,475.3749086
2023,4,0,ISONE,400.4296588
2023,4,0,MISO,676.2510654
2023,4,0,NYISO,473.0223537
2023,4,0,PJM,671.7054005
2023,4,0,SPP,630.4537263
2023,4,1,CAISO,391.8236317
2023,4,1,ERCOT,650.4019139
2023,4,1,ISONE,421.4806752
2023,4,1,MISO,669.9730291
2023,4,1,NYISO,461.5596773
2023,4,1,PJM,694.7017092
2023,4,1,SPP,636.7292955
2023,4,2,CAISO,371.926971
2023,4,2,ERCOT,620.0571119
2023,4,2,ISONE,433.5325299
2023,4,2,MISO,745.2567019
2023,4,2,NYISO,434.6458601
2023,4,2,PJM,604.2738331
2023,4,2,SPP,642.8334292
2023,4,3,CAISO,486.0837349
2023,4,3,ERCOT,552.5377321
2023,4,3,ISONE,410.4070755
2023,4,3,MISO,620.4938795
2023,4,3,NYISO,432.8372958
2023,4,3,PJM,515.8780607
2023,4,3,SPP,562.4402678
